ccsr_diagnosis_description,admissions,median_los,mean_los,p75_los,median_total_charges,mean_total_charges,median_total_costs,mean_total_costs,median_cost_per_day,emergency_department_percent,emergency_admission_percent,long_stay_percent,high_cost_percent
RESPIRATORY CANCERS,210,3.0,6.1,7.0,91921.87,129020.53,28198.2,35068.76,7787.69,32.9,34.8,18.6,20.5
GASTROINTESTINAL CANCERS - COLORECTAL,202,5.0,7.37,8.0,91233.67,122600.79,28558.94,38376.82,5748.52,38.1,38.1,23.3,25.2
URINARY SYSTEM CANCERS - KIDNEY,82,2.0,3.0,3.0,72494.22,94606.22,21839.86,29073.73,11961.69,7.3,9.8,6.1,6.1
ENDOCRINE SYSTEM CANCERS - PANCREAS,76,6.0,7.55,8.25,100812.22,130195.43,28709.12,35512.58,4756.24,47.4,50.0,25.0,26.3
MALE REPRODUCTIVE SYSTEM CANCERS - PROSTATE,74,1.0,7.64,4.0,69493.08,111098.94,20316.98,28685.35,11397.98,24.3,27.0,18.9,9.5
NON-HODGKIN LYMPHOMA,68,7.0,11.16,14.5,105730.32,209477.03,33018.07,61128.43,4527.84,64.7,69.1,47.1,38.2
BREAST CANCER - ALL OTHER TYPES,66,2.0,6.62,4.0,83450.65,123741.4,21911.04,30808.62,8921.73,28.8,31.8,16.7,13.6
NERVOUS SYSTEM CANCERS - BRAIN,59,4.0,7.31,9.0,112780.17,171600.88,39378.96,49674.17,9243.89,54.2,55.9,27.1,37.3
URINARY SYSTEM CANCERS - BLADDER,48,4.0,5.88,7.25,92554.42,109196.06,27100.25,35958.42,6867.07,47.9,45.8,18.8,25.0
MULTIPLE MYELOMA,43,11.0,14.91,16.5,185482.31,268162.67,55322.7,79588.02,5255.65,67.4,72.1,53.5,55.8
FEMALE REPRODUCTIVE SYSTEM CANCERS - ENDOMETRIUM,38,2.0,3.18,4.0,74795.27,77505.11,18656.62,21510.45,7313.3,36.8,36.8,5.3,5.3
FEMALE REPRODUCTIVE SYSTEM CANCERS - OVARY,36,3.0,5.0,5.0,101908.5,108389.11,25533.26,30736.98,7344.44,30.6,33.3,13.9,13.9
GASTROINTESTINAL CANCERS - LIVER,34,7.0,9.59,11.0,114253.91,204878.79,33983.7,62040.9,5332.11,58.8,61.8,35.3,41.2
ENDOCRINE SYSTEM CANCERS - THYROID,34,1.0,2.44,2.75,58574.24,77090.65,15656.08,22814.7,10938.32,2.9,5.9,2.9,8.8
MALIGNANT NEUROENDOCRINE TUMORS,32,6.0,9.97,12.25,98718.57,194577.88,32569.52,49763.87,4658.07,40.6,50.0,37.5,40.6
LEUKEMIA - ACUTE MYELOID LEUKEMIA (AML),27,18.0,20.59,26.5,206034.42,386448.27,76435.33,126223.82,5210.01,59.3,66.7,66.7,59.3
HEAD AND NECK CANCERS - LIP AND ORAL CAVITY,23,4.0,6.09,7.0,92352.01,144809.98,23369.81,38333.37,5842.45,30.4,30.4,17.4,30.4
GASTROINTESTINAL CANCERS - ALL OTHER TYPES,15,6.0,10.13,11.0,113273.63,235993.36,35602.05,66581.57,6427.17,40.0,46.7,33.3,40.0
URINARY SYSTEM CANCERS - URETER AND RENAL PELVIS,11,2.0,3.91,6.5,97661.41,101859.53,25215.61,29698.16,12296.94,9.1,9.1,9.1,9.1
FEMALE REPRODUCTIVE SYSTEM CANCERS - CERVIX,11,2.0,3.64,3.0,81028.47,124442.83,25311.83,33824.9,9805.19,36.4,45.5,9.1,9.1
HODGKIN LYMPHOMA,10,8.0,8.9,12.5,145466.82,205271.28,39568.18,44778.7,5063.98,60.0,70.0,50.0,50.0
BONE CANCER,10,9.0,9.2,10.5,192002.32,279124.46,66703.84,87514.7,10471.44,50.0,50.0,60.0,70.0
LEUKEMIA - CHRONIC MYELOID LEUKEMIA (CML),4,9.5,13.0,15.75,131039.67,138169.37,54110.89,48482.15,4608.79,50.0,75.0,50.0,75.0
LEUKEMIA - ALL OTHER TYPES,3,31.0,30.33,37.5,633913.0,635753.51,106282.48,150311.35,6642.66,66.7,100.0,100.0,100.0
MALE REPRODUCTIVE SYSTEM CANCERS - PENIS,2,4.5,4.5,4.75,33953.22,33953.22,12357.54,12357.54,2778.55,0.0,0.0,0.0,0.0
